start_time,end_time,category,selected_image,jitter_var,correct,target,distractor
328.368,328.836,1,1,"[(0.95, 0), (0.99, -5), (0.95, 0), (0.99, -10)]",True,img2,img5
336.837,337.598,5,3,"[(0.94, -10), (1.05, -10), (1.04, 10), (1.01, 0)]",False,img3,img2
339.173,339.776,2,1,"[(1.07, -5), (0.99, 10), (1.08, 5), (1.08, 0)]",True,img10,img1
340.356,340.876,2,2,"[(1.01, 5), (1.01, 0), (1.02, -10), (0.95, 10)]",True,img8,img6
341.95,342.517,5,0,"[(0.94, 0), (0.99, 0), (1.01, 10), (1.02, 5)]",True,img6,img1
343.266,343.767,2,1,"[(1.05, -10), (1.05, 10), (1.01, 10), (1.02, 5)]",True,img1,img3
344.564,345.107,4,3,"[(0.97, -10), (1.05, 5), (1.02, 0), (1.04, 10)]",True,img9,img5
345.658,346.184,4,0,"[(0.92, -5), (1.04, 10), (0.97, -5), (0.91, -5)]",True,img5,img6
346.752,347.623,4,3,"[(1.02, -5), (0.91, -5), (0.97, 5), (0.93, -5)]",False,img3,img6
349.176,349.87,1,2,"[(0.96, 10), (1.08, 5), (1.08, 0), (0.93, -10)]",True,img10,img1
350.426,351.119,1,2,"[(1.0, -5), (1.01, 10), (1.06, -10), (1.0, 5)]",False,img10,img2
352.685,353.58,2,0,"[(0.91, 0), (1.04, 10), (1.01, -5), (0.96, 10)]",True,img6,img7
354.165,354.738,4,1,"[(0.98, 10), (0.99, 5), (0.92, -10), (0.92, 5)]",False,img9,img7
356.319,357.05,1,0,"[(0.91, -10), (1.04, -10), (0.91, 0), (1.0, 0)]",False,img4,img7
358.638,358.974,5,1,"[(1.01, 5), (1.06, -10), (0.99, 10), (0.96, 0)]",True,img8,img5
359.56,360.261,5,2,"[(1.02, 0), (1.02, -10), (1.03, 10), (1.05, 10)]",True,img6,img5
363.639,364.161,1,1,"[(1.0, -5), (0.92, -5), (0.95, 10), (0.98, -5)]",True,img9,img2
364.723,365.249,5,2,"[(0.93, 10), (1.07, 10), (1.09, -10), (1.03, 5)]",True,img7,img1
365.81,366.512,4,3,"[(0.95, -10), (0.9, -10), (1.02, -5), (1.03, 10)]",True,img1,img3
367.074,367.834,1,3,"[(1.1, 0), (1.01, 0), (1.08, 10), (1.02, -5)]",True,img2,img8
368.422,368.998,5,0,"[(0.93, -5), (1.06, 10), (0.99, 5), (1.0, 0)]",True,img2,img4
369.63,370.439,1,3,"[(1.04, 0), (0.98, -10), (0.92, 5), (0.97, 10)]",False,img6,img2
372.014,372.646,1,3,"[(1.02, -10), (0.95, 0), (1.09, -10), (0.95, -10)]",True,img6,img8
373.219,373.853,4,0,"[(0.98, 0), (1.06, 5), (0.99, -5), (0.94, 0)]",True,img4,img8
374.424,375.006,5,1,"[(0.91, -10), (1.08, -10), (1.07, -5), (1.08, 5)]",False,img7,img3
376.586,377.462,5,2,"[(0.96, -10), (0.96, -10), (1.04, 5), (1.1, -5)]",True,img9,img3
378.017,378.733,2,0,"[(0.98, -10), (1.09, 0), (1.03, -5), (1.07, 0)]",True,img10,img8
379.294,379.814,2,1,"[(1.09, -5), (0.9, 5), (1.01, 0), (0.96, 5)]",False,img7,img5
381.375,381.998,1,3,"[(1.07, 10), (0.93, 10), (0.93, 0), (0.96, 0)]",False,img5,img1
383.576,384.512,2,2,"[(0.95, 10), (0.95, -10), (1.07, 10), (0.98, 10)]",True,img2,img4
385.074,385.958,2,2,"[(0.93, 10), (1.0, 10), (0.98, 5), (0.98, 0)]",False,img4,img8
387.552,388.168,5,0,"[(1.02, -5), (1.04, 0), (0.91, 5), (0.99, 10)]",True,img6,img2
389.014,389.939,2,2,"[(1.09, -5), (1.0, 10), (0.95, -5), (0.93, 0)]",False,img3,img2
391.499,392.042,4,3,"[(0.94, 5), (0.93, 10), (1.02, -5), (1.05, 10)]",True,img2,img3
392.592,393.414,4,2,"[(0.93, -5), (0.94, 5), (0.96, 0), (0.92, 0)]",False,img2,img7
394.973,395.37,4,2,"[(0.92, 10), (1.03, -10), (1.01, 0), (0.91, 0)]",False,img2,img5
396.926,397.546,4,3,"[(0.98, -10), (1.07, 0), (0.9, 5), (0.93, 0)]",True,img7,img2
398.109,398.868,4,2,"[(1.05, -10), (0.95, 5), (0.94, 10), (1.05, 0)]",False,img9,img1
400.445,401.204,1,2,"[(1.0, 10), (1.04, 5), (1.08, 10), (0.91, -5)]",False,img5,img7
402.789,403.207,4,2,"[(1.0, 5), (1.03, -10), (0.96, 0), (0.95, 5)]",False,img3,img10
404.781,405.189,2,1,"[(1.02, -10), (1.07, -10), (0.92, -5), (0.95, 5)]",False,img9,img6
406.766,407.514,1,2,"[(1.03, 0), (0.94, -5), (0.96, -5), (0.91, 10)]",True,img3,img4
408.085,408.723,2,1,"[(1.08, 5), (0.92, -10), (0.99, 10), (1.04, -5)]",True,img9,img1
409.554,410.631,4,2,"[(0.91, 5), (0.91, -10), (0.94, -5), (0.93, 5)]",False,img5,img1
412.205,412.949,4,0,"[(0.93, 5), (1.09, -5), (0.92, 5), (0.98, -10)]",True,img7,img4
413.851,415.154,1,1,"[(1.09, -5), (0.96, 10), (0.92, 5), (1.1, -5)]",False,img3,img10
416.725,417.268,1,0,"[(0.9, -5), (1.07, 10), (0.96, -10), (0.98, 5)]",True,img9,img8
417.844,418.585,4,1,"[(0.96, 10), (1.06, -5), (0.91, -5), (1.0, -10)]",True,img5,img10
419.15,419.809,1,0,"[(1.07, 0), (0.97, -5), (0.9, 5), (1.05, -5)]",True,img8,img6
420.835,421.87,5,3,"[(0.98, 0), (0.94, 10), (1.05, 10), (1.0, 10)]",True,img6,img4
422.433,423.133,4,2,"[(1.0, 0), (0.96, 5), (1.09, -5), (0.92, 5)]",True,img10,img7
423.697,424.48,4,3,"[(1.1, 5), (1.06, -5), (0.96, -10), (0.98, 0)]",True,img9,img3
426.676,427.448,2,1,"[(1.01, 5), (0.97, 5), (0.97, 10), (1.01, 0)]",True,img1,img8
428.202,428.811,1,2,"[(1.05, -10), (1.08, -5), (0.91, 5), (1.08, 10)]",True,img4,img8
431.231,432.072,4,3,"[(1.0, 0), (1.03, 0), (1.09, -10), (0.9, 5)]",False,img1,img10
433.639,434.288,5,1,"[(1.05, -5), (1.04, -10), (1.07, -5), (1.05, 5)]",True,img6,img3
434.908,435.469,5,3,"[(0.94, 0), (1.09, -5), (0.99, 0), (0.93, -10)]",True,img10,img4
436.045,436.684,2,1,"[(1.01, 5), (1.09, -5), (0.96, 10), (0.93, 5)]",True,img2,img8
440.298,440.898,5,1,"[(0.91, 10), (0.94, -5), (1.0, -10), (1.09, -10)]",True,img8,img9
443.078,443.699,5,2,"[(1.04, 5), (0.91, 10), (1.01, -10), (0.99, 10)]",True,img4,img1
444.272,444.757,5,1,"[(1.09, -5), (1.06, 10), (1.0, 10), (1.06, 5)]",True,img1,img5
445.331,446.353,2,0,"[(1.07, -5), (1.08, -10), (1.08, -5), (0.99, -10)]",True,img10,img7
448.339,448.83,5,3,"[(0.94, -10), (1.01, 0), (0.96, -10), (1.06, 10)]",True,img5,img10
449.434,450.116,2,1,"[(0.99, 0), (1.07, 0), (1.06, 10), (0.95, -5)]",True,img8,img2
450.698,451.84,1,3,"[(0.99, 0), (0.98, 5), (1.01, 5), (1.07, -5)]",False,img7,img10
453.409,454.034,1,1,"[(0.96, 0), (0.94, -10), (1.01, 5), (0.9, 10)]",True,img7,img3
454.821,455.362,4,1,"[(0.91, -10), (1.03, -10), (1.05, -10), (1.05, -5)]",True,img8,img5
455.936,456.783,5,0,"[(1.0, -10), (1.05, -10), (1.08, 5), (1.06, -5)]",True,img10,img9
457.556,457.974,5,1,"[(0.91, 10), (1.01, 0), (0.93, -5), (1.02, -5)]",True,img2,img6
458.778,459.371,5,0,"[(1.06, 0), (1.08, 10), (1.07, 5), (1.02, 10)]",True,img2,img8
459.928,460.574,1,0,"[(1.02, 0), (1.0, -10), (1.02, 0), (0.97, 5)]",True,img6,img3
461.663,462.141,2,1,"[(1.0, 0), (0.92, -10), (0.92, 0), (1.07, 0)]",False,img8,img4
464.955,465.839,5,2,"[(0.91, 5), (0.9, 0), (0.99, -10), (1.09, 10)]",True,img1,img2
466.405,467.235,1,0,"[(0.93, -5), (0.99, 10), (1.09, 10), (0.92, 5)]",False,img4,img9
468.796,469.312,1,1,"[(1.1, -10), (1.04, -10), (1.0, 5), (0.99, 10)]",False,img4,img1
